vehicle_id,plate_no,owning_dc,purpose,capacity_ton,cbm,length_m,width_m,height_m,vehicle_type,cbm_verified
VCH8730,VCH8730,EDC,STORE_DELIVERY,5 TAN,22.056804,4.36,2.31,2.19,LORI RIGID -LUTON/KOTAK,True
BSB9025,BSB9025,EDC,STORE_DELIVERY,11 TAN,30.25625,5.15,2.35,2.5,LORI RIGID -CURTANSIDER,True
VGC9932,VGC9932,EDC,STORE_DELIVERY,11 TAN,31.253405400000002,6.244,2.27,2.205,LORI RIGID -CURTANSIDER,True
VGU9906,VGU9906,EDC,STORE_DELIVERY,11 TAN,34.139196,6.13,2.38,2.34,LORI RIGID -CURTANSIDER,True
VCM9732,VCM9732,EDC,STORE_DELIVERY,5 TAN,34.18427500000001,6.19,2.35,2.35,LORI RIGID -LUTON/KOTAK,True
VGG9962,VGG9962,EDC,STORE_DELIVERY,11 TAN,34.409760000000006,6.16,2.45,2.2800000000000002,LORI RIGID -LUTON/KOTAK,True
VGB9957,VGB9957,EDC,STORE_DELIVERY,11 TAN,34.819199999999995,6.2,2.4,2.34,LORI RIGID -CURTANSIDER,True
VFG9963,VFG9963,EDC,STORE_DELIVERY,11 TAN,37.199999999999996,6.2,2.4,2.5,LORI RIGID -CURTANSIDER,True
VCL9733,VCL9733,EDC,STORE_DELIVERY,18 TAN,44.05615500000001,7.05,2.47,2.5300000000000002,LORI RIGID -LUTON/KOTAK,True
VCD9813,VCD9813,EDC,STORE_DELIVERY,18 TAN,49.4,7.6000000000000005,2.5,2.6,LORI RIGID -LUTON/KOTAK,True
VKF8803,VKF8803,EDC,STORE_DELIVERY,19 TAN ,50.47692000000001,7.8,2.47,2.62,LORI RIGID -LUTON/KOTAK,True
VCQ9757,VCQ9757,EDC,STORE_DELIVERY,18 TAN,50.629,7.88,2.57,2.5,LORI RIGID -LUTON/KOTAK,True
VCJ9721,VCJ9721,EDC,STORE_DELIVERY,18 TAN,51.576045,7.87,2.57,2.5500000000000003,LORI RIGID -LUTON/KOTAK,True
VCL9731,VCL9731,EDC,STORE_DELIVERY,18 TAN,51.707795999999995,7.86,2.59,2.54,LORI RIGID -LUTON/KOTAK,True
VHA9971,VHA9971,EDC,STORE_DELIVERY,19 TAN,53.335800000000006,8.3,2.5500000000000003,2.52,LORI RIGID -LUTON/KOTAK,True
VJX8872,VJX8872,HQ,INTER_DC,19 TAN,45.4896,7.8,2.43,2.4,LORI RIGID-CURTANSIDER,True
VJX8873,VJX8873,HQ,INTER_DC,19 TAN,45.596672,7.36,2.42,2.56,LORI RIGID -LUTON/KOTAK,True
VKL8836,VKL8836,HQ,INTER_DC,19 TAN,45.7464,7.78,2.4,2.45,LORI RIGID -LUTOX/KOTAK,True
VKA8815,VKA8815,HQ,INTER_DC,19 TAN,47.74,7.7,2.48,2.5,LORI RIGID-CURTANSIDER,True
VJX8860,VJX8860,HQ,INTER_DC,19 TAN ,50.16737000000001,7.9,2.5100000000000002,2.5300000000000002,LORI RIGID -CURTANSIDER,True
WD5794B,WD5794B,HQ,INTER_DC,18 TAN,51.0272,8.0,2.38,2.68,LORI RIGID -LUTON/KOTAK,True
