store_id,has_any_constraint,has_day_constraint,excluded_days_str,exclude_holidays,has_time_constraint,time_constraint,has_fleet_constraint,max_tonnage,delivery_remark,specific_constraint
B001,False,False,,False,False,,False,,,
B002,False,False,,False,False,,False,,,
B003,False,False,,False,False,,False,,,
B005,False,False,,False,False,,False,,,
B006,False,False,,False,False,,False,,,
B007,True,True,"Saturday,Sunday",True,False,,False,,Not suitable receive stock on weekend and PH,
B009,False,False,,False,False,,False,,,
B010,False,False,,False,False,,False,,early inform 1 day before receive stock,
B012,True,False,,False,True,No unloading at store: Daily - after 10:30am,False,,Must start loading 10am or 10.30am (lift share with other tenant and lift too small),
B013,False,False,,False,False,,False,,,
B014,False,False,,False,False,,False,,Loading at store main entrance,
B015,False,False,,False,False,,False,,,
B017,True,True,Sunday,True,False,,False,,Not suitable receive stock on Sunday and PH,
B018,False,False,,False,False,,False,,,
B019,False,False,,False,False,,False,,,
B020,False,False,,False,False,,False,,,
B021,False,False,,False,False,,False,,,
B022,True,True,"Saturday,Sunday",True,False,,False,,"Mall not allowed, timing limited during weekend",
B023,False,False,,False,False,,False,,,
B024,False,False,,False,False,,False,,Limitation ctn receive = 100ctn,
B025,False,False,,False,False,,False,,,
B026,False,False,,False,False,,False,,,
B027,False,False,,False,False,,False,,,
B028,False,False,,False,False,,False,,,
B029,False,False,,False,False,,False,,,
B030,True,False,,False,False,,True,1.0,Only 1 ton lorry allowed,
B031,False,False,,False,False,,False,,,
B032,False,False,,False,False,,False,,,
B033,False,False,,False,False,,False,,,
B034,False,False,,False,False,,False,,Temporary renovation at loading bay for 6 months (Mall loading lift closed on 4pm),
B035,False,False,,False,False,,False,,,
B037,False,False,,False,False,,False,,,
B038,False,False,,False,False,,False,,,
B039,False,False,,False,False,,False,,,
B041,False,False,,False,False,,False,,,
B042,False,False,,False,False,,False,,,
B043,True,False,,False,False,,True,2.0,boleh terima 2 tan lorry (for parking area),
B044,False,False,,False,False,,False,,,
B045,False,False,,True,False,,False,,PH delivery requires 1 day's notice,
B046,False,False,,False,False,,False,,,
B047,False,False,,False,False,,False,,,
B048,True,False,,False,True,No unloading at store: Daily - 12:30pm to 2:30pm,False,,Everyday 12.30pm to 2.30pm loading bay closed for lunch hour.,
B049,False,False,,False,False,,False,,,
B050,False,False,,False,False,,False,,,
B051,False,False,,False,False,,False,,Focus sales due Tourist area,
B052,False,False,,False,False,,False,,,
B053,False,False,,False,False,,False,,,
B054,False,False,,False,False,,False,,,
B055,False,False,,False,False,,False,,,
B056,False,False,,False,False,,False,,,
B057,False,False,,False,False,,False,,,
B058,False,False,,False,False,,False,,,
B059,False,False,,False,False,,False,,PH need request permit,
B060,True,True,"Saturday,Sunday",True,False,,False,,"Not suitable receive stock on weekend, loading bay at Main Entrance",
B062,False,False,,False,False,,False,,,
B063,False,False,,False,False,,False,,,
B064,False,False,,False,False,,False,,,
B065,True,True,"Saturday,Sunday",True,False,,False,,"Receiving area space limited(too small), loading stock at selling floor, not situable receiving stock on weekend",
B066,False,False,,False,False,,False,,,
B067,True,True,"Saturday,Sunday",True,False,,False,,"Receiving area space limited(too small), loading stock at selling floor, not situable receiving stock on weekend",
B068,False,False,,False,False,,False,,Requested by mall to restrict time for loading stock due to safety and blocking walkway.,
B069,False,False,,False,False,,False,,,
B070,False,False,,False,False,,False,,,
B071,False,False,,False,False,,False,,,
B072,False,False,,False,False,,False,,,
B073,False,False,,False,False,,False,,,
B074,False,False,,False,False,,False,,,
B075,False,False,,False,False,,False,,,
B076,False,False,,False,False,,False,,,
B077,True,True,"Saturday,Sunday",True,False,,False,,Not suitable receive stock on weekend and PH,
B079,False,False,,False,False,,False,,,
B080,False,False,,False,False,,False,,,
B081,False,False,,False,False,,False,,,
B082,False,False,,False,False,,False,,,
B083,False,False,,False,False,,False,,,
B084,True,False,,False,False,,True,1.0,Only 1 ton lorry allowed,
B085,False,False,,False,False,,False,,,
B087,False,False,,False,False,,False,,,
B088,False,False,,False,False,,False,,,
B089,True,True,"Saturday,Sunday",True,False,,False,,Not suitable receive stock on weekend and PH,
B090,False,False,,False,False,,False,,,
C001,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C002,False,False,,False,False,,False,,,
C003,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C005,False,False,,False,False,,False,,,
C006,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C007,True,False,,False,True,No unloading at store: Daily - after 10:00am,False,,"Follows mall standard receiving time, only can receive trip at 8am-10am daily.",
C008,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C009,False,False,,False,False,,False,,,
C010,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C011,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C012,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C013,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C014,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C015,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C016,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C017,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C018,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C019,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C020,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C021,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C023,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C024,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C025,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C026,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C027,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C028,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C029,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C030,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C031,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C032,True,True,"Saturday,Sunday",True,False,,False,,"Weekend and PH cannot receive stock, under 
Royal Malaysian Customs Department ",
C033,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C034,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C035,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C036,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C037,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C038,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C039,False,False,,False,False,,False,,,
C040,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C041,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C042,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C043,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C044,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C045,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C047,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C048,False,False,,False,False,,False,,,
C049,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C050,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C051,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C052,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C053,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C054,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C055,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C056,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C057,False,False,,False,False,,False,,,
C058,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C059,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C060,True,False,,False,True,"No unloading at store: Friday - 12:30pm to 2:30pm, Thursday - 8:00am to 12:00pm",False,,Friday : Break time 12.30pm - 2.30pm / 8am - 12pm Every thursday have a pasar tani nearby store,
C061,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C062,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C063,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C064,False,False,,False,False,,False,,,
C065,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C066,False,False,,False,False,,False,,,
C067,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C068,False,False,,True,False,,False,,No receiving on PH,
C069,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C070,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C071,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C072,False,False,,False,False,,False,,,
C073,False,False,,False,False,,False,,,
C074,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C075,False,False,,False,False,,False,,,
C076,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C077,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C078,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C079,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C080,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
C081,False,False,,False,False,,False,,,
C082,False,False,,False,False,,False,,,
C083,False,False,,False,False,,False,,,
C084,False,False,,False,False,,False,,,
C085,False,False,,False,False,,False,,,
C086,False,False,,False,False,,False,,,
C087,False,False,,False,False,,False,,,
C088,False,False,,False,False,,False,,,
C089,False,False,,False,False,,False,,,
C090,False,False,,False,False,,False,,,
C091,False,False,,False,False,,False,,,
C092,False,False,,False,False,,False,,,
C093,False,False,,False,False,,False,,,
C094,False,False,,False,False,,False,,,
C095,False,False,,False,False,,False,,,
C096,False,False,,False,False,,False,,,
C097,False,False,,False,False,,False,,,
C098,False,False,,False,False,,False,,,
C099,False,False,,False,False,,False,,,
C100,False,False,,False,False,,False,,,
C101,False,False,,False,False,,False,,,
C102,False,False,,False,False,,False,,,
C103,False,False,,False,False,,False,,,
D002,False,False,,False,False,,False,,,
D004,True,True,"Saturday,Sunday",False,False,,False,,No receiving on weekends,
DA01,False,False,,False,False,,False,,,
DA03,False,False,,False,False,,False,,,
DB01,True,True,"Saturday,Sunday",True,False,,False,,"Receiving area space limited(too small), loading stock at selling floor, not situable receiving stock on weekend",
DB02,False,False,,False,False,,False,,,
DB07,False,False,,False,False,,False,,Loading at the parking area,
DB08,False,False,,False,False,,False,,,
DB09,False,False,,False,False,,False,,,
DB11,True,True,"Saturday,Sunday",True,False,,False,,"Not suitable receive stock on weekend, loading bay at Main Entrance",
DD03,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
DJ08,False,False,,False,False,,False,,,
DJ11,False,False,,False,False,,False,,,
DJ13,False,False,,False,False,,False,,,
DJ15,False,False,,False,False,,False,,,
DJ16,False,False,,False,False,,False,,,
DP02,False,False,,False,False,,False,,,
DQ01,False,False,,False,False,,False,,,
DQ03,False,False,,False,False,,False,,,
DT01,False,False,,False,False,,False,,,
DW03,False,False,,False,False,,False,,,
EA01,False,False,,False,False,,False,,,
EA02,False,False,,False,False,,False,,,
EA04,False,False,,False,False,,False,,,
EA05,False,False,,False,False,,False,,,
EA06,True,False,,False,True,No unloading at store: Wednesday - before 1:00pm,False,,EVERY WEDNESDAY HAVE PASAR PAGI FROM 7am to 1pm,
EA07,False,False,,False,False,,False,,,
EA08,False,False,,False,False,,False,,,
EA09,False,False,,False,False,,False,,,
EA10,False,False,,False,False,,False,,,
EA11,False,False,,False,False,,False,,,
EA12,False,False,,False,False,,False,,,
EA13,False,False,,False,False,,False,,,
EB01,True,True,"Saturday,Sunday",False,False,,False,,No delivery on weekend,
EB02,True,True,"Saturday,Sunday",False,False,,False,,No delivery on weekend,
EB03,True,False,,False,False,,True,1.0,Lorry 1 ton only,
EB04,False,False,,False,False,,False,,,
EB05,False,False,,False,False,,False,,,
EB06,False,False,,False,False,,False,,,
EB07,True,False,,False,True,No unloading at store: Monday - after 4:00pm,False,,MONDAY ADA PASANG MALAM,
EB08,False,False,,False,False,,False,,,
EB09,False,False,,False,False,,False,,,
EB10,False,False,,False,False,,False,,,
EB11,False,False,,False,False,,False,,,
EB12,False,False,,False,False,,False,,,
EB13,False,False,,False,False,,False,,,
EB14,False,False,,False,False,,False,,,
EC01,False,False,,False,False,,False,,,
EC02,False,False,,True,False,,False,,No receiving on PH,
EC03,False,False,,False,False,,False,,,
EC04,False,False,,False,False,,False,,,
EC05,False,False,,False,False,,False,,,
EC06,False,False,,False,False,,False,,,
EC07,False,False,,False,False,,False,,,
ED01,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
EJ01,False,False,,False,False,,False,,,
EJ02,False,False,,False,False,,False,,,
EJ03,False,False,,False,False,,False,,,
EJ05,False,False,,False,False,,False,,,
EJ06,False,False,,False,False,,False,,,
EJ07,False,False,,False,False,,False,,,
EJ08,False,False,,False,False,,False,,,
EJ09,False,False,,False,False,,False,,,
EJ10,False,False,,False,False,,False,,,
EJ11,False,False,,False,False,,False,,,
EJ12,False,False,,False,False,,False,,,
EJ13,False,False,,False,False,,False,,,
EJ14,False,False,,False,False,,False,,,
EK01,True,False,,False,True,"No unloading at store: Friday - after 10:00am, Saturday - after 10:00am",False,,Friday and Saturday suggest transportation to arrived early to avoid loading bay congestion.,
EK02,True,True,"Saturday,Sunday",True,False,,False,,No receiving on Saturday & PH,
EK03,False,False,,True,False,,False,,No receiving on PH,
EK04,True,False,,False,True,No unloading at store: Friday - 12:30pm to 2:30pm,False,,Friday : Break time 12.30pm - 2.30pm,
EK05,False,False,,False,False,,False,,,
EK07,True,True,Sunday,True,False,,False,,No receiving on Sunday & PH,
EK08,False,False,,False,False,,False,,,
EK09,False,False,,False,False,,False,,,
EK10,False,False,,False,False,,False,,,
EK11,False,False,,False,False,,False,,,
EK12,False,False,,False,False,,False,,,
EK13,False,False,,False,False,,False,,,
EM01,False,False,,False,False,,False,,,
EM04,False,False,,False,False,,False,,Loading at main entrance,
EM05,False,False,,False,False,,False,,,
EM06,False,False,,False,False,,False,,,
