store_id,latitude,longitude,fulfilment_dc,fulfilment_dc_standard
DQ01,3.18121,113.0348,DC KLANG,DC_KLANG
DQ03,4.4005946,113.990548,DC KLANG,DC_KLANG
T011,4.4007412,113.990878,DC KLANG,DC_KLANG
T014,5.9787314,116.0721237,DC KLANG,DC_KLANG
T015,3.182514,113.0342252,DC KLANG,DC_KLANG
ZL01,6.036889,116.129778,DC KLANG,DC_KLANG
ZL02,5.912833,116.102389,DC KLANG,DC_KLANG
ZL03,5.973222,116.068972,DC KLANG,DC_KLANG
ZL05,6.492833,116.761528,DC KLANG,DC_KLANG
ZL06,5.983028,116.073333,DC KLANG,DC_KLANG
ZL07,6.022018,116.149097,DC KLANG,DC_KLANG
ZL08,5.893639,116.047639,DC KLANG,DC_KLANG
ZL09,5.725984,115.935633,DC KLANG,DC_KLANG
ZL10,5.838901,118.119651,DC KLANG,DC_KLANG
ZL11,5.970028,116.066583,DC KLANG,DC_KLANG
ZL12,6.057403,116.1519,DC KLANG,DC_KLANG
ZL13,5.338972,116.149028,DC KLANG,DC_KLANG
ZL14,5.343508,115.735149,DC KLANG,DC_KLANG
ZL15,6.005611,116.144722,DC KLANG,DC_KLANG
ZL16,4.25875,117.918361,DC KLANG,DC_KLANG
ZL17,5.888722,118.058972,DC KLANG,DC_KLANG
ZL18,5.829722,116.043167,DC KLANG,DC_KLANG
ZL19,5.912833,116.102389,DC KLANG,DC_KLANG
ZL20,6.179444,116.233472,DC KLANG,DC_KLANG
ZL21,5.977058,116.112543,DC KLANG,DC_KLANG
ZL22,4.360806,118.099972,DC KLANG,DC_KLANG
ZL23,6.104295,116.206706,DC KLANG,DC_KLANG
ZL24,5.937056,116.082472,DC KLANG,DC_KLANG
ZL25,4.479475,118.609007,DC KLANG,DC_KLANG
ZL26,5.275889,115.249972,DC KLANG,DC_KLANG
ZL27,5.701693,115.934157,DC KLANG,DC_KLANG
ZL28,6.908762,116.847158,DC KLANG,DC_KLANG
ZL29,5.991444,116.117861,DC KLANG,DC_KLANG
ZL30,5.023349,118.332583,DC KLANG,DC_KLANG
ZL31,5.89316,118.051363,DC KLANG,DC_KLANG
ZL32,4.25425,117.896611,DC KLANG,DC_KLANG
ZL33,6.358611,116.428833,DC KLANG,DC_KLANG
ZL34,5.119117,115.94379,DC KLANG,DC_KLANG
ZL35,5.911543,116.091101,DC KLANG,DC_KLANG
ZL36,5.07425,115.548667,DC KLANG,DC_KLANG
ZL37,6.18975,116.226944,DC KLANG,DC_KLANG
ZL38,5.882281,118.029684,DC KLANG,DC_KLANG
ZL39,5.670311,116.365435,DC KLANG,DC_KLANG
ZL40,5.598354,117.820225,DC KLANG,DC_KLANG
ZL41,6.141403,116.272473,DC KLANG,DC_KLANG
