store_id,has_time_constraint,constraint_type,day_of_week,start_time,end_time,cutoff_time,direction,original_constraint
B012,True,cutoff,Daily,,10:30,,after,No unloading at store: Daily - after 10:30am
B048,True,blackout,Daily,12:30,14:30,,during,No unloading at store: Daily - 12:30pm to 2:30pm
C001,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C003,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C006,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C007,True,cutoff,Daily,,10:00,,after,No unloading at store: Daily - after 10:00am
C008,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C010,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C011,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C012,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C013,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C014,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C015,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C016,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C017,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C018,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C019,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C020,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C021,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C023,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C024,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C025,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C026,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C027,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C028,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C029,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C030,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C031,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C033,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
C034,True,blackout,Friday,12:30,14:30,,during,No unloading at store: Friday - 12:30pm to 2:30pm
